IDENTIFIANT;NOM;VILLE;CODE POSTAL;SCORE;RESIDENCE;THEME 1;THEME 2;VISUEL EXPEDIA;LATITUDE;LONGITUDE;PAYS;ETOILES;DESCRIPTION
5643318;Domaine des Lys;Ancenis;44150;15000;;;;http://media.expedia.com/hotels/6000000/5650000/5643400/5643318/5643318_11_b.jpg;47.389644622802734;-1.2122360467910767;FRA;4.0;"Cet hôtel se trouve en zone rurale. <br /><br />Chapelle des Ursulines (3;3 km) • Église Saint-Pierre (3;8 km) • Château d'Ancenis (3;9 km) • Parc de sculptures monumentales (8;3 km)"
2686609;Hôtel La Mascotte;La Baule-Escoublac;44500;30000;;;;http://media.expedia.com/hotels/3000000/2690000/2686700/2686609/2686609_48_b.jpg;47.282352447509766;-2.406614065170288;FRA;3.0;"Pour un  séjour santé à La Baule ; ne manquez pas l'opportunité de réserver une chambre à l'hôtel La Mascotte; situé à 50 mètres des belles plages de sable de l'Atlantique. Cet hôtel de charme offre à ses hôtes une ambiance particulièrement reposante; dans une des stations balnéaires les plus prestigieuses de France.       De nombreux équipements de sports et de loisirs sont disponibles à proximité. Le casino de La Baule est à deux pas; tandis qu'un centre de thalassothérapie; un parcours de golf; des terrains de tennis; un centre équestre et bien sûr de nombreux sports aquatiques sont facilement accessibles en voiture. Et à quelques minutes d'ici; vous visiterez la très belle ville médiévale de Guérande et les chantiers navals de Saint Nazaire.      Sur demande; de petites réunions (maximum 15 personnes) peuvent également être organisées à l'Hôtel La Mascotte."
4558868;Hotel Campanile Nantes Centre - Saint Jacques;Nantes;44200;30000;;;;http://media.expedia.com/hotels/5000000/4560000/4558900/4558868/4558868_19_b.jpg;47.192989349365234;-1.5273200273513794;FRA;3.0;"Cet hôtel se trouve en périphérie. <br /><br />Hôpital Saint-Jacques (1;1 km) • Centre des congrès de Nantes (2;6 km) • Hôpital de l'Hôtel-Dieu (2;8 km) • Université de Nantes (2;8 km) • Le Lieu Unique (2;9 km)."
565103;Hôtel Le Marini;La Baule-Escoublac;44500;20000;;;;http://media.expedia.com/hotels/1000000/570000/565200/565103/565103_8_b.jpg;47.28740692138672;-2.3891959190368652;FRA;2.0;
445178;Hermitage Barriere;La Baule-Escoublac;44500;15000;;Hotel bord de mer, Hotel de luxe;   ;http://media.expedia.com/hotels/1000000/450000/445200/445178/445178_126_b.jpg;47.28043746948242;-2.410304069519043;FRA;5.0;"Situé à La Baule-Escoublac; en plein centre-ville; cet hôtel donne directement sur la une plage. <br /><br />Notre-Dame de La Baule (1;1 km) • Plage de La Baule (1;3 km) • Casino de Pornichet (5 km) • Centre de thalassothérapie Daniel Jouvance (5;3 km)"
3631310;Hotel Restaurant Le Paris;La Baule-Escoublac;44500;20000;;;;http://media.expedia.com/hotels/4000000/3640000/3631400/3631310/3631310_15_b.jpg;47.28815841674805;-2.389580011367798;FRA;2.0;
1400181;Hotel Astoria Nantes;Nantes;44000;30000;;;;http://media.expedia.com/hotels/2000000/1410000/1400200/1400181/1400181_53_b.jpg;47.21828842163086;-1.5435999631881714;FRA;3.0;"L'INTER-HOTEL Astoria bénéficie d'une charmante situation dans le centre-ville de Nantes; à seulement quelques minutes à pied de la gare et des attractions historiques telles le château; la cathédrale; le Musée des Beaux Arts et le Jardin des Plantes.  Ce confortable INTER-HOTEL est une destination de choix pour les vacanciers à la découvert du Loire-Atlantique et du nord-ouest de la France.  Cet hôtel de Nantes propose un garage payant; un ascenseur et une salle de réunion. Les animaux domestiques sont admis sur demande."
565638;Hôtel Stars Nantes;Nantes;44300;20000;;;   ;http://media.expedia.com/hotels/1000000/570000/565700/565638/565638_15_b.jpg;47.24736022949219;-1.503980040550232;FRA;2.0;"Cet hôtel se trouve à Nantes (Stade de la Beaujoire). <br /><br />Stade de la Beaujoire (2 km) • Parc du Grand-Blottereau (2;1 km) • Parc des Expositions de Nantes La Beaujoire (2;4 km) • Jardin des Plantes (4;3 km) • Cathédrale de Nantes (4;8 km)"
8000259;Voyage Désirable - L'Arbre Perché;Nantes;44100;100;;;;http://media.expedia.com/hotels/9000000/8010000/8000300/8000259/8000259_8_b.jpg;47.209747314453125;-1.5702300071716309;FRA;0.0;"Cet appartement se trouve à Nantes. <br /><br />Eglise Notre-Dame de Bon Port (0;1 km) • Passage Pommeraye (0;9 km) • Musée Jules Verne (1 km) • Château des ducs de Bretagne (1;7 km) • Cathédrale de Nantes (1;7 km)."
3720783;Brit Hotel Saint-Nazaire Centre quicky.model.Gare;Saint-Nazaire;44600;30000;;;;http://media.expedia.com/hotels/4000000/3730000/3720800/3720783/3720783_34_b.jpg;47.2856330871582;-2.211874008178711;FRA;3.0;"Le BRIT HOTEL LE KORALI vous propose 54 chambres et suites tout confort; équipées de TV satellite; téléphone direct; douche; WC ... Nous mettons à votre disposition une salle pour vos réunions et séminaires.  L'hôtel vous propose un parking public à proximité (pour voitures et autocars).  Un petit déjeuner; buffet riche et varié; est proposé dès 6h et jusqu'à 10h. Nous vous accueillons dans un lieu entièrement insonorisé. Notre établissement est le point de départ idéal pour vos excursions touristiques : Presqu'île Guérandaise; les plages de Pornichet; la Baule; la Brière; la base sous-marine; l'Ecomusée; les Chantiers de l'Atlantique; EADS.  Contenu fourni par la propriété. La propriété s'assume l'entière responsabilité de l'exactitude des informations fournies"
2841585;Best Western Hôtel de Pornic;Pornic;44210;30000;;;   ;http://media.expedia.com/hotels/3000000/2850000/2841600/2841585/2841585_32_b.jpg;47.12596893310547;-2.117539882659912;FRA;3.0;"Cet hôtel est situé dans un quartier commerçant. <br /><br />Tharon-Plage (5;8 km) • Chapelle de Sainte Anne de Tharon (5;8 km) • Galerie d'art La côte de jade (5;8 km) • Église de La Bernerie-en-Retz (7;9 km) • Plage de La Bernerie-en-Retz (8 km)"
1152428;Hotel Campanile Nantes Ouest - Saint Herblain;Saint-Herblain;44800;30000;;;   ;http://media.expedia.com/hotels/2000000/1160000/1152500/1152428/1152428_33_b.jpg;47.22745895385742;-1.634909987449646;FRA;3.0;"Cet hôtel de Saint-Herblain est situé près de l'aéroport. <br /><br />Zénith de Nantes (0;5 km) • Atlantis Shopping Centre (0;6 km) • Manoir de la Bégraisière (1;6 km)"
1152429;Hotel Campanile Nantes Est - Saint Sébastien Sur Loire;Saint-Sebastien-sur-Loire;44230;30000;;;   ;http://media.expedia.com/hotels/2000000/1160000/1152500/1152429/1152429_19_b.jpg;47.210758209228516;-1.486680030822754;FRA;3.0;"Cet hôtel se trouve à Saint-Sébastien-sur-Loire. <br /><br />Parc du Grand-Blottereau (2;8 km) • Jardin des Plantes (4;5 km) • Château des ducs de Bretagne (4;8 km)"
7762968;Okko Hotel Nantes Château;Nantes;44000;100;;Hotel de charme, Hotel romantique;de charme, romantisme;http://media.expedia.com/hotels/8000000/7770000/7763000/7762968/7762968_7_b.jpg;47.21678924560547;-1.5519180297851562;FRA;0.0;"Cet hôtel se trouve au cœur de Nantes. <br /><br />Château des ducs de Bretagne (0;1 km) • Cathédrale de Nantes (0;2 km) • Passage Pommeraye (0;7 km) • Jardin des Plantes (0;7 km)"
68899;Westotel Nantes Atlantique;La Chapelle-sur-Erdre;44240;15000;;Hotel golf;   ;http://media.expedia.com/hotels/1000000/70000/68900/68899/68899_231_b.jpg;47.282901763916016;-1.550130009651184;FRA;4.0;"Westotel;  hôtel 4 étoiles de standing près de Nantes ; est situé au cœur d'un parc paysagé; à 400 mètres du périphérique Nord et à proximité du Parc des Expositions et du stade de la Beaujoire.       Élégamment décorées et spacieuses; les chambres vous apportent tout le confort moderne indispensable à un agréable séjour de loisirs ou d'affaires. Pour partager un instant de convivialité; Westotel met à votre disposition son restaurant Ailleurs ainsi que son Salon Bar L'Equateur.      Les professionnels sauront apprécier les 50 salons de réception techniquement équipés; intégrés au site qui accueille tous les événements professionnels jusqu'à 250 invités en classe; 400 en amphithéâtre; 600 en conférence et 1200 en cocktail.       Connexion Internet Wi-Fi dans les espaces communs et  espaces bien-être  avec sauna; piscine extérieure et salle de remise en forme.      Westotel s’engage pour l’environnement et est certifié ECOLABEL europeén."
2534535;Hotel Graslin;Nantes;44000;30000;;;;http://media.expedia.com/hotels/3000000/2540000/2534600/2534535/2534535_13_b.jpg;47.21223831176758;-1.5616300106048584;FRA;3.0;"Récemment rénové dans une décoration moderne; le Graslin est un hôtel entièrement insonorisé offrant une  ambiance paisible en plein centre-ville de Nantes .      Grâce à son emplacement stratégique et son accès facile depuis la plupart des avenues de la ville; cet hôtel constitue le point de départ parfait pour visiter Nantes et notamment découvrir les sites voisins que sont la cathédrale; le théâtre; la Place Graslin ou la célèbre brasserie La Cigale.       Des infrastructures modernes ainsi qu'une ambiance chaleureuse font de l'hôtel Graslin le choix idéal pour touristes et hommes d'affaires souhaitant profiter d'un  hébergement de qualité à Nantes ."
3840695;Hôtel Balladins Nantes Saint Herblain;Saint-Herblain;44800;30000;;;;http://media.expedia.com/hotels/4000000/3850000/3840700/3840695/3840695_17_b.jpg;47.22983169555664;-1.6342979669570923;FRA;3.0;"Sur l’axe Nantes - Vannes; aux portes du Zénith; l’ hôtel abordable Balladins Saint Herblain; aux abords de Nantes  se situe à proximité d'Atlantis; zone dynamique de part la diversité des entreprises qui y sont installées; et la multitude d'activité disponibles: bowling; cinéma; restaurants divers; centre commercial; etc. La proximité du tramway et de son parking relais vous permet de rejoindre rapidement le centre ville de Nantes.  A 15 minutes de l'aéroport ; 45 minutes de Pornic et 50 minutes de Saint Nazaire; l'établissement se propose comme un point relais à toutes vos escapades. Situé dans la même rue que l'hôpital Nord Laënnec; il peut accueillir dans les meilleures conditions les accompagnateurs des personnes hospitalisées.      Outre de jolies chambres avec accès Internet sans fil gratuit; l'Hôtel Balladins Nantes - Saint Herblain vous propose sur demande également des 2 salles de séminaire et de réunion (30 à 33 mètres carrés) professionnelles très lumineuses; équipées d'écran; paperboard et vidéoprojecteur; ce qui en fait une base idéale en Loire-Atlantique pour les voyageurs d'affaires.      Vous pourrez prendre un verre au bar et choisir en cas de fringale parmi une variété de plateaux repas disponibles en continu à la réception; quelle que soit l'heure; à consommer dans la salle petit-déjeuner ou dans votre chambre."
4897273;Bhô Hotel;Saint-Herblain;44800;30000;;;;http://media.expedia.com/hotels/5000000/4900000/4897300/4897273/4897273_4_b.jpg;47.22236251831055;-1.6263190507888794;FRA;3.0;"Cet hôtel de Saint-Herblain est situé près de l'aéroport. <br /><br />Atlantis Shopping Centre (0;3 km) • Zénith de Nantes (0;7 km) • Manoir de la Bégraisière (1;3 km)"
860053;Hotel Pommeraye;Nantes;44000;20000;;;;http://media.expedia.com/hotels/1000000/870000/860100/860053/860053_35_b.jpg;47.214088439941406;-1.5604480504989624;FRA;2.0;"Le Pommeraye; un hôtel de charme au cœur de Nantes; a mi-chemin entre la place Graslin et la place Royale; à proximité du théatre;des magasins; restaurants; cinémas et des rues piétonnes.      Vous pouvez disposer; pour vos réunions d'une salle de séminaire moderne. Parking Graslin à proximité; gardé la nuit."
2686308;Hôtel de la quicky.model.Gare Nantes;Nantes;44000;20000;;;;http://media.expedia.com/hotels/3000000/2690000/2686400/2686308/2686308_25_b.jpg;47.21769714355469;-1.5438100099563599;FRA;2.0;"Bénéficiant d'une position stratégique au  coeur de Nantes; l'Hôtel De la quicky.model.Gare  vous offre un hébergement au centre-ville et un accès rapide à toutes les principales attractions de la région grâce à son emplacement face à la quicky.model.Gare SNCF.    L'hôtel De la quicky.model.Gare vous offre un  hébergement confortable à Nantes  vous permettant de rejoindre facilement la Cité Internationale des Congrès; le Château des Ducs de Bretagne; le Musée des Beaux Arts et la Cathédrale Saint Pierre; tous situés à moins de 5 minutes à pied.    Parmi les services de l'hôtel vous trouverez un salon; un service de réception disponible 24h/24; journaux gratuits; fax et location de voitures. Le personnel multilingue (anglais; espagnol; allemand) sera ravi de vous accueillir pour un séjour magnifique dans cette ville merveilleuse. Les animaux de compagnie sont les bienvenus."
7428358;Hôtel-Restaurant La Luna;Saint-Nazaire;44600;20000;;;;http://media.expedia.com/hotels/8000000/7430000/7428400/7428358/7428358_10_b.jpg;47.27577209472656;-2.2132949829101562;FRA;2.0;"Cet hôtel est situé en centre-ville. <br /><br />Musée maritime (3;5 km) • Serpent d'océan (3;5 km) • Église de Saint-Brévin-les-Pins (4;7 km) • Hippodrome de Pornichet-La Baule (9;3 km) • Centre de thalassothérapie Daniel Jouvance (9;9 km)"
4900108;Hotel de Touraine;Saint-Nazaire;44600;100;;;;http://media.expedia.com/hotels/5000000/4910000/4900200/4900108/4900108_5_b.jpg;47.27450942993164;-2.2134900093078613;FRA;0.0;"Cet hôtel se trouve à Saint-Nazaire. <br /><br />Musée maritime (3;4 km) • Serpent d'océan (3;5 km) • Église de Saint-Brévin-les-Pins (4;7 km) • Hippodrome de Pornichet-La Baule (9;2 km) • Centre de thalassothérapie Daniel Jouvance (9;9 km)"
7619616;Résid' Spa - Loire & Sèvre;Reze;44200;100;;Hotel Spa;bien-etre;http://media.expedia.com/hotels/8000000/7620000/7619700/7619616/7619616_45_b.jpg;47.1912956237793;-1.5443660020828247;FRA;0.0;"Cet appartement de Rezé est situé près de l'aéroport. <br /><br />Hôpital Saint-Jacques (0;7 km) • Hôpital de l'Hôtel-Dieu (2;2 km) • Centre des congrès de Nantes (2;5 km) • Passage Pommeraye (2;7 km) • Musée Jules Verne (2;8 km)."
3242949;Inter-hotel Anaiade;Saint-Nazaire;44600;20000;;;;http://media.expedia.com/hotels/4000000/3250000/3243000/3242949/3242949_10_b.jpg;47.286293029785156;-2.2992970943450928;FRA;2.0;"De construction boisée; l'INTER-HOTEL Anaïade se fond parfaitement dans son environnement calme et verdoyant. Situé à seulement 5 km de Pornichet et La Baule; 8 Km du centre ville de Saint-Nazaire et 12 km de Guérande; l'INTER-HOTEL Anaïade est le point de départ idéal pour découvrir une région particulièrement attrayante. Les 30 chambres de l'établissement sont climatisées; insonorisées et équipées de télévision à écran plat; TNT; Canal+ et WIFI gratuit.   L'hôtel propose également des chambres pour personnes à mobilité réduite. Ouvert 7/7; parking gratuit; accueil chaleureux et ambiance conviviale.  Contenu fourni par la propriété. La propriété s'assume l'entière responsabilité de l'exactitude des informations fournies."
5406606;Radisson Blu Hotel Nantes;Nantes;44000;15000;;;;http://media.expedia.com/hotels/6000000/5410000/5406700/5406606/5406606_29_b.jpg;47.21742248535156;-1.5629550218582153;FRA;4.0;"Cet hôtel se trouve au cœur de Nantes. <br /><br />Théâtre Graslin (0;5 km) • Passage Pommeraye (0;5 km) • Cathédrale de Nantes (0;9 km) • Château des ducs de Bretagne (1 km)"
1682742;Hotel de Pen Bron;La Turballe;44420;30000;;;   ;http://media.expedia.com/hotels/2000000/1690000/1682800/1682742/1682742_40_b.jpg;47.3033447265625;-2.5106019973754883;FRA;3.0;"Cet hôtel de La Turballe se trouve près de la plage. <br /><br />Port du Croisic (0;8 km) • Plage de La Baule (9;2 km) • Notre-Dame de La Baule (8;9 km)"
1349361;Best Western Hotel Brittany;La Baule-Escoublac;44500;30000;;;;http://media.expedia.com/hotels/2000000/1350000/1349400/1349361/1349361_23_b.jpg;47.28245544433594;-2.396315097808838;FRA;3.0;"Pour vos vacances à la  mer; l'hôtel Best Western Brittany de La Baule  vous offre un hébergement au bon rapport qualité prix. La Baule-Escoublac est une ville riche en histoire et culture et vous pourrez admirer plusieurs immeubles historiques comme celui de la gare; le Le Castel Marie-Louise ou l'Hermitage mais aussi la Chapelle Saint-Anne ou l'église de Notre-Dame.    Cet excellent  hôtel Best Western de La Baule  se trouve à seulement 50 mètres de la plage et à quelques pas de plusieurs restaurants renommés où vous pourrez savourer d'excellentes spécialités régionales et des fruits de mer. L'hôtel est aussi près des marchés et des rues du shopping de La Baule.    Parmi les services vous trouverez accès Internet Wi-Fi;  solarium avec vue sur la mer  où vous pourrez bronzer toute la journée mais aussi déguster des thés ou boire une coupe de champagne et un bar salon."
53472;ibis Nantes Nord Treillières;Treillieres;44119;30000;;;   ;http://media.expedia.com/hotels/1000000/60000/53500/53472/53472_27_b.jpg;47.2777214050293;-1.595039963722229;FRA;3.0;"Cet hôtel se trouve à Treillières. <br /><br />Golf de Nantes-Erdre (1;5 km) • L'Odyssée (2;9 km) • Zénith de Nantes (6 km) • Cathédrale de Nantes (7;4 km)"
6924;Ibis Nantes La Beaujoire;Nantes;44300;30000;;;   ;http://media.expedia.com/hotels/1000000/10000/7000/6924/6924_36_b.jpg;47.25434875488281;-1.516700029373169;FRA;3.0;"Cet hôtel se trouve à Nantes (Stade de la Beaujoire). <br /><br />Stade de la Beaujoire (0;8 km) • Parc des Expositions de Nantes La Beaujoire (1;1 km) • Parc du Grand-Blottereau (2;8 km) • Jardin des Plantes (4;3 km) • Cathédrale de Nantes (4;8 km)"
14383;Novotel Nantes Carquefou;Carquefou;44470;15000;;Hotel design, Hotel golf;   ;http://media.expedia.com/hotels/1000000/20000/14400/14383/14383_101_b.jpg;47.28498077392578;-1.4560400247573853;FRA;4.0;"Cet hôtel de Carquefou est situé près de l'aéroport. <br /><br />Golf de Carquefou (2;5 km) • Jardin des Plantes (9;8 km) • Atlanpole (5 km)"
1175317;Hôtel de Bourgogne;Nantes;44000;30000;;;;http://media.expedia.com/hotels/2000000/1180000/1175400/1175317/1175317_24_b.jpg;47.21757125854492;-1.5443400144577026;FRA;3.0;"Idéalement placé  face à la station de tramway et à la gare Nord de Nantes; l'Hôtel De Bourgogne  profite d'une excellente position centrale dans  la ville la plus agréable à vivre d'Europe  (selon le magazine  Time  en 2004).       Situé à seulement quelques pas du centre-ville; les invités pourront facilement se rendre auprès des principales attractions de Nantes; comme le Château des Ducs de Bretagne; alors que les personnes en voyage d'affaires apprécieront la proximité de la Cité des Congrès.       Avec un bar; une réception ouverte 24h/24 et un accès Internet Wi-Fi gratuit; l'hôtel De Bourgogne est le choix parfait pour les personnes à la recherche d'un  hébergement de qualité au centre de Nantes . L'hotel dispose également d'un garage à vélos.      Bien desservi par les transports en public; cet hôtel à Nantes est également un point de départ idéal pour partir à la découverte du village médiéval de Clisson; des vignobles nantais à Vallet; ou profiter d'une ballade en bateau sur l'Erdre."
1682399;Villa Cap d'Ail;La Baule-Escoublac;44500;30000;;;;http://media.expedia.com/hotels/2000000/1690000/1682400/1682399/1682399_46_b.jpg;47.28330993652344;-2.4066100120544434;FRA;3.0;"Cet hôtel se trouve en centre-ville; près de la plage. <br /><br />Notre-Dame de La Baule (0;8 km) • Plage de La Baule (1 km) • Casino de Pornichet (4;9 km) • Centre de thalassothérapie Daniel Jouvance (5;2 km) • Hippodrome de Pornichet-La Baule (6 km)"
4026590;Hotel Le Prieure Des Gourmands;Bonnoeuvre;44540;30000;;;;http://media.expedia.com/hotels/5000000/4030000/4026600/4026590/4026590_29_b.jpg;47.527671813964844;-1.2356239557266235;FRA;3.0;"Ce hôtel de campagne se situe à Bonnoeuvre; à 15 minutes de route d'Ancenis; dans la région Pays de la Loire. Il dispose de chambres modernes; équipées d'une connexion Wi-Fi gratuite.  Toutes les chambres de l'hôtel Logis Hôtel Le Prieuré Des Gourmands offrent un décor unique et sont dotées d'une télévision à écran plat avec les chaînes de la TNT. Toutes sont équipées d'une salle de bains privative et sont accessibles par un ascenseur.  Le restaurant de l'établissement propose une cuisine française raffinée et un petit déjeuner continental tous les matins. Le restaurant met également à votre disposition une terrasse offrant une vue sur l'Erdre.  L'hôtel Le Prieuré Des Gourmands est à 40 minutes de route de Nantes et à environ 60 kilomètres d'Angers. Un parking est mis gratuitement à disposition des clients voyageant en voiture.  Contenu fourni par la propriété. La propriété s'assume l'entière responsabilité de l'exactitude des informations fournies."
8061738;Hotel du Parc;Orvault;44700;20000;;;;http://media.expedia.com/hotels/9000000/8070000/8061800/8061738/8061738_3_b.jpg;47.26514434814453;-1.6276479959487915;FRA;2.0;"Cet hôtel se trouve en bord de fleuve. <br /><br />• L'Odyssée (0;6 km) • Golf de Nantes-Erdre (3;6 km) • Manoir de la Bégraisière (3;9 km) • Zénith de Nantes (4;1 km) • Parc des Expositions de Nantes La Beaujoire (7;4 km)"
3657344;Auberge La Fontaine aux Bretons;Pornic;44210;30000;;;;http://media.expedia.com/hotels/4000000/3660000/3657400/3657344/3657344_27_b.jpg;47.10273361206055;-2.0707950592041016;FRA;3.0;"Situé entre la campagne et l'Océan Atlantique; l'Hôtel Résidence La Fontaine aux Bretons vous propose des chambres  dans un hôtel 3 étoiles à Pornic . Cette Résidence est idéale pour vos  vacances en famille à la campagne ; vos enfants aimeront l'ambiance naturelle; les animaux; le parc merveilleux de la Résidence La Fontaine aux Bretons. En quelques minutes de marche; vous arriverez à la plage de sable fin où vous pourrez bronzer toute la journée. Vous pourrez aussi visiter la jolie ville de Pornic; avec son château; sa baie et son port de pêche.     A la Résidence La Fontaine aux Bretons vous aimerez les jardins; les vignes et les potagers; mais aussi l'excellente cuisine du restaurant. La Résidence   dispose aussi de plusieurs salles de réunion (une avec accès Internet Wi-Fi) et vous y pourrez organiser votre événement ou... pourquoi pas votre mariage? Une équipe de professionnels est à votre disposition pour vous aider lors de l'organisation de réunion et séminaires. Parmi les services de la Résidence vous trouverez aussi un parking et une piscine extérieure où vous détendre toute la journée."
4026515;Kyriad Nantes Centre Graslin;Nantes;44000;20000;;;;http://media.expedia.com/hotels/5000000/4030000/4026600/4026515/4026515_19_b.jpg;47.21187973022461;-1.5609530210494995;FRA;2.0;"Entièrement rénové en 2010; le  Best Hôtel Nantes  vous accueille en plein coeur de Nantes; à proximité des  quais de la Loire . Son emplacement central en fait un point de départ idéal pour visiter la ville mais aussi découvrir la Loire-Atlantique. Cet hôtel est aussi très bien situé pour les professionnels en déplacement de travail; non loin du  marché d'intérêt national  sur l'île de Nantes.       Vous pourrez aisément rejoindre le Best Hôtel Nantes depuis la gare grace à l'arrêt de tramway tout proche; qui vous permettra de sillonner la ville à loisir. A proximité de l'hôtel; vous trouverez de nombreux restaurants et lieux de divertissements; des théâtres; comme le Graslin; des cinémas comme le Gaumont et des musées comme le Musée d'Histoire Naturelle."
2570327;Park & Suites Confort Carquefou;Carquefou;44470;30000;;;   ;http://media.expedia.com/hotels/3000000/2580000/2570400/2570327/2570327_17_b.jpg;47.26908874511719;-1.485097050666809;FRA;3.0;"Cette résidence se trouve dans le quartier des affaires. <br /><br />Golf de Carquefou (2;1 km) • Stade de la Beaujoire (3;4 km) • Atlanpole (3;5 km)"
4294751;Le Grand Large;La Bernerie-en-Retz;44760;20000;;;;http://media.expedia.com/hotels/5000000/4300000/4294800/4294751/4294751_3_b.jpg;47.079071044921875;-2.0384299755096436;FRA;2.0;"Situé à La Bernerie-en-Retz; cet hôtel offre un accès direct à la plage. <br /><br />Plage de La Bernerie-en-Retz (0;1 km) • Église de La Bernerie-en-Retz (0;3 km) • Château de Noirmoutier (17;8 km) • Espace de l'Enclos (11;9 km)"
1190372;Campanile St Nazaire Trignac;Trignac;44570;30000;;;   ;http://media.expedia.com/hotels/2000000/1200000/1190400/1190372/1190372_23_b.jpg;47.29991149902344;-2.2101800441741943;FRA;3.0;"Cet hôtel se trouve à Trignac. <br /><br />Serpent d'océan (4;7 km) • Musée maritime (4;7 km) • Église de Saint-Brévin-les-Pins (6;7 km) • Parc naturel régional de Brière (8;9 km)"
